2025-07-28 08:29:04.780 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-07-28 08:29:06.951 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-07-28 08:30:33.109 [main] INFO  local.example.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.11 with PID 55407 (/Users/carter/Desktop/Javaweb/Javaweb_review/web-application/tlias-web-management/target/classes started by carter in /Users/carter/Desktop/Javaweb/Javaweb_review/web-application)
2025-07-28 08:30:33.110 [main] INFO  local.example.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-07-28 08:30:33.545 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-07-28 08:30:33.551 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-07-28 08:30:33.552 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-07-28 08:30:33.552 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-28 08:30:33.570 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-07-28 08:30:33.570 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 445 ms
2025-07-28 08:30:33.888 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-07-28 08:30:33.894 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-07-28 08:30:33.897 [main] INFO  local.example.TliasWebManagementApplication-Started TliasWebManagementApplication in 0.947 seconds (process running for 1.387)
2025-07-28 08:43:17.097 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-28 08:43:17.105 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-07-28 08:43:17.128 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 23 ms
2025-07-28 08:43:17.168 [http-nio-8080-exec-1] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 08:43:17.195 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-07-28 08:43:17.573 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@550fdf03
2025-07-28 08:43:17.605 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-07-28 08:43:17.792 [http-nio-8080-exec-2] ERROR local.example.exception.GlobalExceptionHandler-全局异常捕获：No static resource .well-known/appspecific/com.chrome.devtools.json.
2025-07-28 08:44:57.042 [http-nio-8080-exec-4] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 08:56:17.678 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Retrograde clock change detected (housekeeper delta=29s865ms), soft-evicting connections from pool.
2025-07-28 09:09:20.701 [http-nio-8080-exec-5] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:09:29.455 [http-nio-8080-exec-6] ERROR local.example.exception.GlobalExceptionHandler-全局异常捕获：Required request body is missing: public local.example.pojo.Result local.example.controller.DeptController.addDept(local.example.pojo.Dept)
2025-07-28 09:12:40.070 [http-nio-8080-exec-7] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:12:46.588 [http-nio-8080-exec-8] ERROR local.example.exception.GlobalExceptionHandler-全局异常捕获：Required request body is missing: public local.example.pojo.Result local.example.controller.DeptController.addDept(local.example.pojo.Dept)
2025-07-28 09:12:56.039 [http-nio-8080-exec-9] ERROR local.example.exception.GlobalExceptionHandler-全局异常捕获：Required request body is missing: public local.example.pojo.Result local.example.controller.DeptController.addDept(local.example.pojo.Dept)
2025-07-28 09:19:24.413 [http-nio-8080-exec-10] ERROR local.example.exception.GlobalExceptionHandler-全局异常捕获：Required request body is missing: public local.example.pojo.Result local.example.controller.DeptController.addDept(local.example.pojo.Dept)
2025-07-28 09:32:06.522 [http-nio-8080-exec-1] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:32:33.768 [http-nio-8080-exec-2] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:32:38.738 [http-nio-8080-exec-3] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:32:45.778 [http-nio-8080-exec-4] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:32:51.672 [http-nio-8080-exec-5] INFO  local.example.controller.DeptController-新增部门, dept: Dept(id=null, name=Swift, createTime=null, updateTime=null)
2025-07-28 09:32:51.725 [http-nio-8080-exec-6] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:45:45.083 [http-nio-8080-exec-7] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:45:47.135 [http-nio-8080-exec-8] INFO  local.example.controller.DeptController-根据部门id查询, id: 5
2025-07-28 09:48:15.852 [http-nio-8080-exec-9] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:48:20.355 [http-nio-8080-exec-10] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:48:28.729 [http-nio-8080-exec-1] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:48:57.092 [http-nio-8080-exec-2] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:10.149 [http-nio-8080-exec-3] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:12.347 [http-nio-8080-exec-4] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:24.681 [http-nio-8080-exec-5] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:39.906 [http-nio-8080-exec-6] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:45.425 [http-nio-8080-exec-7] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:46.592 [http-nio-8080-exec-8] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:49:48.064 [http-nio-8080-exec-9] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:50:33.746 [http-nio-8080-exec-10] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:50:35.865 [http-nio-8080-exec-1] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:50:38.785 [http-nio-8080-exec-2] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:25.910 [http-nio-8080-exec-3] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:27.813 [http-nio-8080-exec-4] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:39.606 [http-nio-8080-exec-5] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:40.693 [http-nio-8080-exec-6] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:42.633 [http-nio-8080-exec-7] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:45.840 [http-nio-8080-exec-8] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:52.496 [http-nio-8080-exec-9] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:52:55.297 [http-nio-8080-exec-10] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:53:02.979 [http-nio-8080-exec-1] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:53:10.578 [http-nio-8080-exec-2] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:53:14.215 [http-nio-8080-exec-3] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:53:16.978 [http-nio-8080-exec-4] INFO  local.example.controller.DeptController-查询部门列表
2025-07-28 09:53:27.197 [http-nio-8080-exec-5] INFO  local.example.controller.DeptController-查询部门列表
